CarpalsLeft, Carpals
CervicalVertebrae, Cervical Vertebrae (I-VII)
ClavicleLeft, Clavicle
Coccyx, Coccyx
Cranium, Cranium
FemurLeft, Femur
FibulaLeft, Fibula
FootLeft, Foot
HandLeft, HandLeft
HumerusLeft, Humerus
LumbarVertebrae, Lumbar Vertebrae (L I - L V)
Mandible, Mandible
Manubrium, Manubrium
MetacarpalsLeft, Metacarpals
MetatarsalsLeft, Metatarsals
PatellaLeft, Patella
PelvicGirdle, Pelvic Girdle
PhalangesFootLeft, Phalanges
PhalangesLeft, Phalanges
RadiusLeft, Radius
Sacrum, Sacrum
Scapula, Scapula
Skull, Skull
Sternum, Sternum
TarsalsLeft, Tarsals
ThoracicVertebrae, Thoracic Vertebrae (T I - T XII)
TibiaLeft, Tibia
UlnaLeft, Ulna
